,f1,f2,f3,f4,f5
1971-12,0.0416765261951356,0.0549665415097324,0.055785762024118,0.0557275917769752,0.0634029890385153
1972-01,0.0413533856835339,0.0548051538761871,0.0638341717511702,0.0590467732182856,0.0670438665589069
1972-02,0.0428761862615049,0.0524349935433198,0.0619627054884145,0.0600739934243937,0.0658641990626961
1972-03,0.0493478196303393,0.0609805710652457,0.0630968558763706,0.0617402799695795,0.0649400659093029
1972-04,0.0453426138064444,0.0570999410207141,0.0635766110038383,0.0600411350646143,0.0639711959602304
1972-05,0.0462743315319895,0.0525961787337591,0.0623081413352596,0.0607781042336363,0.0637539277483943
1972-06,0.0523359430199296,0.0560179371755501,0.0625886638272164,0.0632493157014879,0.0612132924137726
1972-07,0.0494633907355903,0.0554194612439192,0.0650043330342687,0.0644184310066235,0.0598775427737392
1972-08,0.0548152787733129,0.0576369906982696,0.0638673351267378,0.0683668373923648,0.0594096057293506
1972-09,0.0562846780112336,0.0596088938067335,0.0621212721911627,0.0625292219852471,0.062359941163498
1972-10,0.0553647293365864,0.059709478508879,0.0629167395880427,0.0651512503873916,0.0615232796712945
1972-11,0.0539283420255556,0.0587253711264126,0.0611997989511584,0.0667159930344614,0.0598196277905524
1972-12,0.0555444229066828,0.0631039870780789,0.0613638153688443,0.0628622058306914,0.0658133920265291
1973-01,0.0614393285998981,0.0627303080449825,0.0639567355374458,0.0668949180299061,0.0600867938302069
1973-02,0.0640479748084312,0.0662999191011182,0.0668842756201595,0.0673194855332177,0.0650919498247752
1973-03,0.0691143074314258,0.0670491173814457,0.0650841036521185,0.0643860744701719,0.067087677326898
1973-04,0.0670055617813622,0.0656119628334768,0.0664921676248252,0.0628916380963871,0.0662249974313108
1973-05,0.0694465458101578,0.064942357228494,0.0637450127715293,0.0637374701418835,0.0680225353090254
1973-06,0.0753595242491822,0.0641094610420937,0.067284618043332,0.0620282096166925,0.067418460655206
1973-07,0.086255299252088,0.0729632003084194,0.0745563644223632,0.0792523672545802,0.069141360320278
1973-08,0.0834359582420345,0.0692840787761805,0.0648267056895338,0.0677249038228241,0.067382818945353
1973-09,0.0770214429602816,0.0625395196126705,0.0590851171408702,0.0652673841435988,0.0633968714514073
1973-10,0.0712167710909887,0.0632064476636924,0.0645888529846005,0.0680311218649464,0.0647301003605195
1973-11,0.0740448972199104,0.059440782163764,0.0648555092653626,0.0657155071727949,0.0664911248594405
1973-12,0.0712382476010568,0.0625331738280747,0.0653260677268131,0.0671884550551069,0.0676355483256008
1974-01,0.0688571664095876,0.0643428525538232,0.0682431970381308,0.0686609241761707,0.0671323884402337
1974-02,0.0702078950434964,0.065886779984191,0.0647493687917553,0.0710959216837302,0.0685242283875792
1974-03,0.0816005872046057,0.0726934362291898,0.0735354898711284,0.0726946671601546,0.0705395009257534
1974-04,0.086702333839293,0.0764638639149204,0.0785487391454315,0.078352595696291,0.0769830769112099
1974-05,0.0829251913742657,0.0760588168554843,0.0793366346843066,0.0779118070770831,0.0704158106598193
1974-06,0.0865605695276756,0.0795294345560073,0.0787497161456244,0.0843590324254071,0.0749422324913186
1974-07,0.0865714737612445,0.0807590127337524,0.0820672084648493,0.0842026694369388,0.0759480691490155
1974-08,0.0965109003808438,0.0770808721041182,0.0793282297545485,0.0803035171826485,0.0860413691725296
1974-09,0.0789241668070107,0.0819842954836274,0.0736752791661272,0.0801954988793826,0.0768273422860134
1974-10,0.0764059952026257,0.0774330665159324,0.0780173364480838,0.0789305480002357,0.0780718137778838
1974-11,0.0749067526323832,0.0693447527656861,0.0754604406144442,0.0735322329811851,0.0766028515127197
1974-12,0.0687500438291166,0.0748316846489075,0.0707631449798394,0.0710997040537254,0.0693749459276833
1975-01,0.0606633725672354,0.0723424439109156,0.0724083336199977,0.0758088272928937,0.0767099002718056
1975-02,0.0584663276099201,0.0657599210333226,0.0709131062613695,0.0693732155205262,0.0826930635658144
1975-03,0.0620669114162182,0.0718073971401095,0.0754772904894981,0.0788105886428323,0.0768906098082445
1975-04,0.0668237970592559,0.0808065199447683,0.0834320051795022,0.083182777660976,0.0786789767693511
1975-05,0.0598349337021858,0.0760191542919821,0.0773143802979636,0.0785082387659349,0.079343497017048
1975-06,0.0671980545634773,0.0742042324416145,0.078920247122416,0.0713273998856584,0.0886007464542716
1975-07,0.0716893608918451,0.078854498008021,0.0826626546101833,0.0762032379615685,0.0826851376983749
1975-08,0.0735927203033733,0.0799664678229296,0.0804557430765419,0.0812164971141783,0.0839484731491268
1975-09,0.0755104936889409,0.0847991134539013,0.0801581453045713,0.0893705375377591,0.0761019309712284
1975-10,0.0613223651827317,0.0770205844390128,0.0751102056095115,0.0782235518268103,0.0854779504909152
1975-11,0.0647305395719307,0.0785049285148219,0.076925036937481,0.0744656216619788,0.0910363541257721
1975-12,0.0598986354083513,0.0723878181887311,0.0759561700282731,0.076696547355731,0.0831868007219215
1976-01,0.0554492869943899,0.0712143144179372,0.0798563900980011,0.0803757235348291,0.0824592820509496
1976-02,0.0604402638114162,0.0732168510015237,0.077977914318401,0.0765404983826991,0.0788239601439046
1976-03,0.059930487783214,0.0723787947792606,0.0754531667134329,0.0788268870961372,0.0780745774321874
1976-04,0.0596544675682891,0.071206208881426,0.0753274342150812,0.0743859503276068,0.0828521932692175
1976-05,0.0670162548527867,0.0778939169430216,0.077533624404128,0.0792966335028847,0.0795199897085259
1976-06,0.0634191478696548,0.0749008346295249,0.0746133707401744,0.0814645533611578,0.0789001532136289
1976-07,0.0600154324099866,0.0732302867373753,0.07404908961251,0.0794144037403173,0.0769759600597707
