,rx2,rx3,rx4,rx5
1973-01,-0.006634174723711,-0.0055303110175232,-0.0104402733366834,-0.0102913248076828
1973-02,-0.0116129812651114,-0.015950194877815,-0.0227604770735807,-0.0242157635441023
1973-03,-0.0081337363661801,-0.0120859978712552,-0.0154298215537941,-0.0148758301146632
1973-04,-0.0099056207606481,-0.0119409725902866,-0.0183920051504975,-0.0173124472866543
1973-05,-0.0168503670763986,-0.0194845829696331,-0.0224514915075261,-0.0224350339010153
1973-06,-0.0193415870736322,-0.0208623842885095,-0.0248976866303535,-0.0257126038332736
1973-07,-0.0308358380081688,-0.0387947052823197,-0.0489326386980593,-0.0683074631789003
1973-08,-0.0257989675437649,-0.0312157111932077,-0.0276755794903767,-0.0359908775838501
1973-09,-0.017412549153548,-0.0178307965750558,-0.0143866917306789,-0.0172941347107797
1973-10,-0.0115072925821098,-0.0117970006577595,-0.0112346032549684,-0.0177424454486203
1973-11,-0.0153195260934978,-0.0135605093061033,-0.0117000255370045,-0.017595904919247
1973-12,-0.008134260522978,-0.0093036189822081,-0.01176748087833,-0.0131425439069078
1974-01,-0.0061268583646051,-0.0065129753809825,-0.0078612543892071,-0.016435384735171
1974-02,-0.0039079759423782,-0.0029104803064097,-0.0003403635649474,-0.0063443354239024
1974-03,-0.01455146982316,-0.0221608024002312,-0.0313102178011879,-0.0369172076344444
1974-04,-0.0210903710058162,-0.0310620672959114,-0.0467191683449558,-0.0588467666099359
1974-05,-0.0179828341457716,-0.0302966382297266,-0.0458958027721498,-0.0557850745402074
1974-06,-0.022451108485582,-0.0346959249982573,-0.051417431527189,-0.0683580032973902
1974-07,-0.013608273452825,-0.0198109217642142,-0.0226257629744834,-0.0376870720911442
1974-08,-0.0272268216046633,-0.0394809880192477,-0.0510843139509721,-0.0640050121882675
1974-09,-0.0163846471943402,-0.0392838255370973,-0.0476917205596259,-0.0644903479876011
1974-10,-0.0131995475389333,-0.0260437610702652,-0.0360299756534024,-0.0502304232931187
1974-11,-0.0154659704686192,-0.0199552139689427,-0.0297001474105921,-0.0367412555323368
1974-12,-0.0062168700010419,-0.0157224869231362,-0.0192971768478689,-0.0227613325759934
1975-01,0.0036794799865877,-0.000419766886197,-0.004167176330024,-0.0128436151826838
1975-02,0.0074204523742708,0.0064099001327036,0.0065927155550642,0.0057437284221173
1975-03,0.0106265248129714,0.0123546175439905,0.009571994214647,0.001300906497568
1975-04,0.0096400668556644,0.0073822860563277,0.0023028765731165,-0.0038968241766495
1975-05,0.0162238831532984,0.019541363545623,0.0201387903247425,0.0120463622186269
1975-06,0.0123313799925298,0.0168768636965396,0.0223156489995308,0.0259304816051911
1975-07,0.0090696518419073,0.0122823622987356,0.0138223771254911,0.013567208312938
1975-08,0.0034881518007448,0.0028499137323637,0.0026976878384702,0.0075225598968216
1975-09,0.0064738017946864,-0.0046500324930875,-0.0046126789182762,-0.0171558741700219
1975-10,0.0161107013332006,0.0171074533422714,0.0209277957329957,0.0207760576840692
1975-11,0.0046142131937554,0.0015697252933776,-0.0018230786629181,0.0003141511878227
1975-12,0.0149330492405561,0.0133083760316645,0.0084519100571168,0.0011303086290691
1976-01,0.0168931569165256,0.0180871761185862,0.0140396133134787,0.0103737900504552
1976-02,0.0053196572219063,0.0030159124817522,-0.0055887863161227,0.0005637788669925
1976-03,0.0118769093568954,0.0149754050671329,0.0183328269965324,0.0163965497086397
1976-04,0.0211520523764791,0.0333778486745553,0.0412331921204502,0.0455262185621944
1976-05,0.0090028994391953,0.0084233627941373,0.0093979771559442,0.0094448406701075
1976-06,0.0107850845719597,0.0148044970648508,0.0115185262103348,0.0186547193034487
1976-07,0.0188390655980344,0.0282714334708424,0.0304255818199008,0.0336963157779584
1976-08,0.021743958622507,0.0308828395444863,0.0417599211313349,0.0464683393714836
1976-09,0.0275830508934735,0.0406857182088857,0.057680108785987,0.0611637003364715
1976-10,0.0224904782762753,0.0327164244967915,0.0430966222504341,0.0566599283601847
1976-11,0.0293567002480915,0.0489132260698128,0.0617727497201401,0.0868032738670888
1976-12,0.024845375291268,0.0426500836579402,0.054572448009768,0.0772280090148635
1977-01,0.0153421318513049,0.0295356387898255,0.0370239495399842,0.0454116970529814
1977-02,0.0186339412312316,0.0314310193513547,0.0351694128525523,0.0362192377013442
1977-03,0.0188619775644341,0.0296901114701341,0.035958285763989,0.0376902324167899
1977-04,0.0170984312331959,0.0263527348401225,0.0313196130514611,0.035029224060945
1977-05,0.0214399607968287,0.0338021332232883,0.044761498920053,0.048310537488772
1977-06,0.0188065602746165,0.0302463178662394,0.045648680872447,0.0511729477292222
1977-07,0.0117058852405873,0.0195028214077269,0.0308005432661533,0.0318478934087905
1977-08,0.008951976957832,0.0120372218772854,0.022567337651099,0.0294015829590098
1977-09,0.0024422873972268,0.0059002323252942,0.0081819406755868,0.0176288931742794
1977-10,-0.0029343018701874,-0.0076615255596981,-0.0090461347001268,-0.0063883025044499
1977-11,-0.0088888196624836,-0.0206898380005636,-0.0262963021431409,-0.0314647997418145
1977-12,-0.010009613007119,-0.0188914080029371,-0.0318673178797478,-0.0362153082103798
1978-01,-0.0050385900135038,-0.0079679187245262,-0.0095222204990229,-0.019623167612771
1978-02,-0.0061540614063443,-0.0106446855903566,-0.0109929705334291,-0.0171638135652009
1978-03,-0.0068172646466326,-0.0140462037062656,-0.0159245244994751,-0.020801092997111
1978-04,-0.0078425523420135,-0.0172860859292235,-0.0188621784095449,-0.025906402755977
1978-05,-0.0124550105021436,-0.0252291317132111,-0.0295519296549504,-0.0371911652045751
