,r2,r3,r4,r5
1972-12,0.0410986447981852,0.0337804197442244,0.0281441961523552,0.0286849793601791
1973-01,0.0347192109598228,0.0358230746660107,0.0309131123468504,0.0310620608758511
1973-02,0.0312632049963935,0.0269259913836898,0.0201157091879241,0.0186604227174025
1973-03,0.0412140832641592,0.0372618217590841,0.0339179980765451,0.0344719895156761
1973-04,0.0354369930457962,0.0334016412161577,0.0269506086559468,0.02803016651979
1973-05,0.0294239644555909,0.0267897485623564,0.0238228400244634,0.0238392976309742
1973-06,0.0329943559462974,0.0314735587314201,0.0274382563895761,0.026623339186656
1973-07,0.0186275527274215,0.0106686854532706,0.000530752037531,-0.0188440724433099
1973-08,0.029016311229548,0.0235995675801052,0.0271396992829362,0.0188244011894628
1973-09,0.0388721288576855,0.0384538814361778,0.0418979862805546,0.0389905433004538
1973-10,0.0438574367544766,0.0435677286788268,0.0441301260816179,0.0376222838879661
1973-11,0.0386088159320578,0.0403678327194522,0.042228316488551,0.0363324371063085
1973-12,0.0474101623837048,0.0462408039244746,0.0437769420283528,0.0424018789997749
1974-01,0.055312470235293,0.0549263532189156,0.053578074210691,0.0450039438647271
1974-02,0.0601399988660529,0.0611374945020214,0.0637076112434837,0.0577036393845288
1974-03,0.0545628376082657,0.0469535050311945,0.0378040896302379,0.0321970997969813
1974-04,0.045915190775546,0.0359434944854508,0.0202863934364064,0.0081587951714262
1974-05,0.0514637116643861,0.0391499075804311,0.0235507430380079,0.0136614712699504
1974-06,0.0529084157636002,0.0406635992509249,0.0239420927219932,0.007001520951792
1974-07,0.072647025799263,0.0664443774878738,0.0636295362776045,0.0485682271609437
1974-08,0.0562091366373711,0.0439549702227868,0.0323516442910624,0.0194309460537669
1974-09,0.0606367957659414,0.0377376174231842,0.0293297224006557,0.0125310949726805
1974-10,0.0580172235520554,0.0451730100207235,0.0351867954375863,0.02098634779787
1974-11,0.0585789267512912,0.0540896832509676,0.0443447498093182,0.0373036416875736
1974-12,0.0650213776000148,0.0555157606779206,0.0519410707531879,0.0484769150250634
1975-01,0.0725366463961754,0.0684373995233906,0.0646899900795636,0.0560135512269037
1975-02,0.0776283474177672,0.0766177951762001,0.0768006105985606,0.0759516234656138
1975-03,0.0922271120175772,0.0939552047485962,0.0911725814192527,0.0829014937021738
1975-04,0.0963424006949574,0.0940846198956207,0.0890052104124095,0.0828055096626435
1975-05,0.0991490745275641,0.1024665549198888,0.1030639816990083,0.0949715535928926
1975-06,0.0988919495202055,0.1034374332242153,0.1088762185272065,0.1124910511328667
1975-07,0.0956411256031518,0.0988538360599801,0.1003938508867357,0.1001386820741825
1975-08,0.0999990521815887,0.0993608141132075,0.0992085882193141,0.1040334602776654
1975-09,0.0853979686016972,0.0742741343139231,0.0743114878887345,0.0617682926369887
1975-10,0.0925166965358264,0.0935134485448972,0.0973337909356215,0.097182052886695
1975-11,0.0795209658261386,0.0764764779257608,0.073083673969465,0.0752209038202059
1975-12,0.0836830930696727,0.0820584198607811,0.0772019538862335,0.0698803524581857
1976-01,0.077556529483761,0.0787505486858216,0.0747029858807141,0.0710371626176906
1976-02,0.0637859848318265,0.0614822400916723,0.0528775412937974,0.0590301064769127
1976-03,0.0739438207731137,0.0770423164833512,0.0803997384127507,0.078463461124858
1976-04,0.0879758494357351,0.1002016457338113,0.1080569891797062,0.1123500156214504
1976-05,0.0688378331413811,0.0682582964963231,0.06923291085813,0.0692797743722933
1976-06,0.077983139135437,0.0820025516283282,0.0787165807738121,0.0858527738669261
1976-07,0.0905284264898795,0.0999607943626875,0.1021149427117459,0.1053856766698035
1976-08,0.0953366789258804,0.1044755598478596,0.1153526414347083,0.120061059674857
