Date,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
1971-11,0.0454497,0.0550656,0.0597643499999999,0.06146895,0.0620576499999999,0.06226085,0.0623310999999999,0.0623566,0.0623638,0.0623679,0.0689414999999999,0.0631941818181818,0.0631961818181818,0.0631943636363635,0.063195
1971-12,0.0453983181818181,0.0534605909090909,0.0584009545454545,0.0612819545454545,0.062925,0.0638533636363636,0.0643770909090909,0.0646743636363635,0.0648392272727271,0.0649377727272728,0.0649908636363636,0.0650237727272726,0.0650412727272727,0.0650517272727273,0.0650571363636363
1972-01,0.0417326666666666,0.0531689523809523,0.0590608095238095,0.0621044285714285,0.0636802857142857,0.0644977142857142,0.0649224761904762,0.0651423809523809,0.0652582857142857,0.0653172380952381,0.0653479047619047,0.0653657142857142,0.065370142857143,0.0653763333333331,0.0653746666666666
1972-02,0.041414,0.0553649999999999,0.06117325,0.0636299499999999,0.0646850499999999,0.06514525,0.0653478999999999,0.0654388,0.0654805000000001,0.0654982999999999,0.0655065999999999,0.0655145999999999,0.0655129500000001,0.0655146499999997,0.0655154500000001
1972-03,0.0459180909090909,0.0578170909090909,0.0618931818181818,0.0634201818181818,0.0640314545454545,0.0642919999999999,0.0644031363636364,0.0644554090909091,0.0644774090909091,0.0644879545454544,0.064493090909091,0.0644953636363635,0.0644965909090908,0.0644964999999998,0.0644977727272728
1972-04,0.04894665,0.0614675499999999,0.0641608999999999,0.0646934999999999,0.06480515,0.06482905,0.0648361,0.0648382999999999,0.06483855,0.06483975,0.0648390999999999,0.0648385999999999,0.0648361499999999,0.06484185,0.0648370499999999
1972-05,0.0458338636363636,0.0571049545454545,0.0615447727272727,0.0633555,0.0641211363636364,0.0644539545454545,0.0646039999999999,0.0646723636363636,0.0647048636363635,0.064719590909091,0.0647275,0.0647329545454544,0.0647318636363635,0.0647355909090909,0.0647327727272726
1972-06,0.048402409090909,0.057524409090909,0.0612979545454545,0.0629059545454545,0.0636085909090909,0.0639228636363636,0.064064909090909,0.0641318181818181,0.0641630000000001,0.0641767272727271,0.0641838636363637,0.0641884090909089,0.0641884090909091,0.0641902272727272,0.0641906818181816
1972-07,0.0492825,0.0598052,0.0620933499999999,0.06261175,0.0627334499999999,0.06276275,0.06277145,0.06277275,0.0627731499999998,0.0627726500000001,0.0627737,0.0627730999999998,0.0627740500000002,0.0627719499999999,0.0627734499999999
1972-08,0.0494176956521739,0.0595236956521739,0.0628855652173913,0.0639657391304348,0.0643077391304347,0.064414956521739,0.0644491739130435,0.0644608260869565,0.064464652173913,0.0644651739130434,0.064465652173913,0.0644646956521739,0.0644644347826086,0.0644665217391304,0.0644665217391304
1972-09,0.0539841,0.0616252999999999,0.06457645,0.06572775,0.0661811499999999,0.06635975,0.06643225,0.0664620499999998,0.0664728,0.0664779000000002,0.0664797999999998,0.0664799,0.0664804500000002,0.0664822499999997,0.06647835
1972-10,0.0543736,0.062351,0.063954,0.0642976,0.0643760499999999,0.06439495,0.06440065,0.0644005499999999,0.06440345,0.0644016499999998,0.064402,0.0644031,0.0644002,0.0644034000000001,0.0644025499999997
1972-11,0.05293705,0.06080705,0.0629333999999999,0.0635109,0.0636735999999999,0.063719,0.0637327499999999,0.06373705,0.0637375999999999,0.0637396,0.0637399999999999,0.063738,0.0637387500000001,0.0637388499999997,0.0637401500000001
1972-12,0.05451735,0.06083765,0.06288235,0.0635482499999999,0.0637664,0.0638404,0.0638628,0.063872,0.0638729499999999,0.0638748499999999,0.0638751499999999,0.06387725,0.0638739999999999,0.0638738999999999,0.0638762
1973-01,0.0587587727272727,0.0629871363636363,0.0636168636363636,0.0637166818181818,0.0637330454545454,0.0637360454545455,0.0637361818181818,0.0637363636363634,0.0637373636363636,0.0637365454545454,0.0637365,0.0637368636363637,0.0637360454545453,0.0637361363636362,0.0637385454545453
1973-02,0.0618107222222222,0.0661140555555555,0.0664137222222222,0.0659057222222221,0.0653699444444445,0.0649624999999999,0.0646854444444444,0.0645067777777778,0.064394611111111,0.0643248333333333,0.0642817222222221,0.0642572777777779,0.0642387777777778,0.064231333333333,0.0642275555555557
1973-03,0.0675431363636363,0.0677604090909091,0.0667285909090909,0.0659380454545454,0.0653557272727272,0.0649243636363636,0.0646084999999999,0.0643834090909091,0.064223909090909,0.0641111818181819,0.064033227272727,0.0639818636363638,0.0639455909090906,0.0639218636363638,0.0639049545454544
1973-04,0.0675409999999999,0.0662739,0.0652611999999999,0.0649320999999999,0.06481255,0.0647669499999999,0.0647509500000001,0.0647409499999999,0.064741,0.0647393999999998,0.0647384500000001,0.0647379500000001,0.0647374499999997,0.0647395499999998,0.0647391000000002
1973-05,0.0681740909090909,0.0667576363636363,0.0661916818181818,0.0661311363636363,0.0661229545454545,0.066122409090909,0.0661229090909091,0.0661215454545455,0.0661219545454545,0.0661232272727271,0.0661219545454546,0.0661228636363636,0.0661212272727271,0.0661237727272727,0.0661208636363634
1973-06,0.0711820476190476,0.0653161428571428,0.0651940952380952,0.065193238095238,0.0651932857142856,0.0651931904761904,0.0651936666666667,0.065193380952381,0.0651928095238094,0.065193380952381,0.0651942857142856,0.0651919047619048,0.0651925238095237,0.0651927142857141,0.0651947619047618
1973-07,0.0825355714285714,0.0694028095238095,0.067743619047619,0.0676804761904761,0.0676789523809524,0.0676782857142856,0.0676776190476189,0.0676777142857142,0.0676778095238095,0.0676790476190476,0.0676759047619048,0.0676767619047616,0.0676805714285717,0.0676775238095236,0.0676780476190476
