Date,rx2,rx3,rx4,rx5,rx6,rx7,rx8,rx9,rx10,rx11,rx12,rx13,rx14,rx15
1972-12,-0.0010567590909090832,-0.0034934545454545635,-0.005093850000000025,-0.005717099999999961,-0.005630136363636365,-0.005093445454545445,-0.004281881818181857,-0.0033146545454547233,-0.0022498318181818494,-0.0011338181818181386,1.4804545454535911e-05,0.0011788272727273202,0.0023565545454546782,0.0035397909090910534
1973-01,-0.005589820346320336,-0.009516147186147156,-0.011028582251082247,-0.011064978354978328,-0.010300309523809476,-0.009113878787878865,-0.0077076796536798275,-0.0061857575757575944,-0.004605883116883064,-0.0029945238095237248,-0.0013653095238095603,0.00026796969696971096,0.0019082575757574938,0.0035467878787878993
1973-02,-0.006445722222222235,-0.01138652777777776,-0.014170300000000018,-0.015390972222222236,-0.015615666666666687,-0.015230266666666652,-0.014476911111111095,-0.013503188888888844,-0.012399499999999945,-0.011217733333333361,-0.009984855555555554,-0.008729183333333328,-0.007453311111111409,-0.006169194444444352
1973-03,-0.009726045454545452,-0.01559327272727274,-0.01890168181818184,-0.020808272727272793,-0.021872000000000093,-0.02239322727272728,-0.022546318181818105,-0.022452318181818122,-0.02218827272727273,-0.02180636363636366,-0.021344227272727202,-0.020829500000000147,-0.02027859090909099,-0.019702681818182
1973-04,-0.006073450000000001,-0.008186450000000005,-0.00875415000000001,-0.00888109999999994,-0.008864599999999966,-0.008795449999999892,-0.008708100000000073,-0.008610499999999986,-0.00851174999999995,-0.008412049999999914,-0.00831190000000006,-0.008213700000000233,-0.008109299999999896,-0.008011799999999812
1973-05,-0.011069136363636371,-0.016282000000000026,-0.01911818181818182,-0.021128181818181803,-0.02279718181818178,-0.02431559090909089,-0.025766136363636373,-0.027182818181818315,-0.028585181818181794,-0.02998090909090887,-0.031369909090909066,-0.03276090909090921,-0.03414654545454541,-0.03553754545454555
1973-06,-0.013657638528138526,-0.017675826839826873,-0.019963967532467507,-0.021548614718614682,-0.022819036796536733,-0.02394731818181816,-0.025009166666666686,-0.02603954761904758,-0.027055629870129876,-0.02806514718614716,-0.02907102380952386,-0.030074519480519528,-0.031076816017316038,-0.032078848484848536
1973-07,-0.02273037142857142,-0.030039830952380962,-0.03517169999999999,-0.04011872619047618,-0.045034928571428594,-0.04994176428571428,-0.05484663333333322,-0.05975119761904767,-0.06465635714285711,-0.06956170476190471,-0.07446450952380979,-0.07936722142857122,-0.08427584285714307,-0.0891799166666668
1973-08,-0.025766304347826098,-0.037488391304347814,-0.04396513043478257,-0.04866439130434786,-0.0529007826086958,-0.05713260869565224,-0.061483913043478285,-0.0659697391304348,-0.07056326086956533,-0.07523465217391301,-0.07996095652173918,-0.08472595652173909,-0.08950734782608682,-0.09430578260869549
1973-09,-0.019013015789473696,-0.02140509210526314,-0.01990444736842103,-0.018626823684210557,-0.018619073684210473,-0.01990440263157891,-0.02222887894736849,-0.025318289473684218,-0.028940968421052447,-0.03293374736842094,-0.03717574210526322,-0.041585502631578584,-0.04610656842105267,-0.05070679736842101
