Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15
1972-11,0.0454497,0.04757825,0.04653554999999998,0.04507110000000003,0.043617849999999986,0.04220510000000005,0.04081719999999989,0.03944104999999998,0.038067799999999985,0.03669810000000007,0.04190000000000005,0.041354181818181956,0.04081236363636376,0.04026797727272713,0.03972412727272734
1972-12,0.04539831818181818,0.044341559090909095,0.041904863636363615,0.040304468181818154,0.03968121818181822,0.039768181818181814,0.040304872727272734,0.04111643636363632,0.042083663636363455,0.04314848636363633,0.04426450000000004,0.045413122727272714,0.0465771454545455,0.04775487272727286,0.04893810909090923
1973-01,0.04173266666666667,0.03614284632034633,0.03221651948051951,0.03070408441558442,0.03066768831168834,0.03143235714285719,0.0326187878787878,0.03402498701298684,0.035546909090909073,0.037126783549783604,0.03873814285714294,0.04036735714285711,0.04200063636363638,0.04364092424242416,0.04527945454545457
1973-02,0.041414,0.034968277777777765,0.03002747222222224,0.027243699999999982,0.026023027777777763,0.025798333333333312,0.026183733333333348,0.026937088888888905,0.027910811111111156,0.029014500000000054,0.030196266666666638,0.031429144444444446,0.03268481666666667,0.03396068888888859,0.03524480555555565
1973-03,0.045918090909090915,0.03619204545454546,0.030324818181818175,0.027016409090909077,0.025109818181818122,0.024046090909090823,0.023524863636363635,0.02337177272727281,0.023465772727272793,0.023729818181818185,0.024111727272727257,0.024573863636363713,0.02508859090909077,0.025639499999999926,0.026215409090908914
1973-04,0.04894665,0.0428732,0.040760199999999996,0.04019249999999999,0.04006555000000006,0.040082050000000036,0.04015120000000011,0.04023854999999993,0.040336150000000015,0.04043490000000005,0.04053460000000009,0.04063474999999994,0.04073294999999977,0.040837350000000106,0.04093485000000019
1973-05,0.04583386363636364,0.03476472727272727,0.029551863636363612,0.02671568181818182,0.024705681818181835,0.02303668181818186,0.021518272727272747,0.020067727272727265,0.018651045454545323,0.017248681818181844,0.015852954545454767,0.014463954545454571,0.01307295454545443,0.01168731818181823,0.010296318181818087
1973-06,0.048402409090909086,0.03474477056277056,0.030726582251082213,0.02843844155844158,0.026853794372294404,0.025583372294372353,0.024455090909090926,0.0233932424242424,0.022362861471861506,0.02134677922077921,0.020337261904761927,0.019331385281385227,0.01832788961038956,0.01732559307359305,0.01632356060606055
1973-07,0.0492825,0.02655212857142858,0.019242669047619038,0.014110800000000007,0.009163773809523823,0.004247571428571406,-0.0006592642857142783,-0.005564133333333221,-0.010468697619047673,-0.015373857142857106,-0.0202792047619047,-0.02518200952380978,-0.030084721428571215,-0.03499334285714306,-0.039897416666666796
1973-08,0.04941769565217392,0.02365139130434782,0.011929304347826103,0.0054525652173913475,0.0007533043478260559,-0.003483086956521886,-0.007714913043478322,-0.012066217391304368,-0.01655204347826089,-0.021145565217391415,-0.0258169565217391,-0.03054326086956527,-0.03530826086956518,-0.040089652173912915,-0.04488808695652158
1973-09,0.0539841,0.034971084210526304,0.03257900789473686,0.03407965263157897,0.03535727631578944,0.03536502631578953,0.03407969736842109,0.03175522105263151,0.028665810526315783,0.025043131578947553,0.02105035263157906,0.01680835789473678,0.012398597368421416,0.007877531578947328,0.0032773026315789933
1973-10,0.0543736,0.04520145714285714,0.04426431428571426,0.044450914285714266,0.04401148809523808,0.042668390476190476,0.0405384214285715,0.03780940000000005,0.03465432619047615,0.031202642857142693,0.027548357142857083,0.023759933333333372,0.019880514285714246,0.01594596190476205,0.011967416666666453
1973-11,0.05293705,0.03977090000000001,0.036874199999999996,0.03479220000000002,0.032853999999999994,0.03094775000000005,0.029049150000000024,0.027151900000000062,0.025255999999999945,0.023360199999999942,0.021465499999999915,0.01956749999999996,0.017671950000000214,0.0157759999999999,0.013879850000000027
1973-12,0.05451735,0.0437064210526316,0.04270692894736847,0.041548863157894717,0.03989136842105262,0.037962136842105254,0.03591214736842102,0.03381414736842103,0.03169446578947366,0.029569526315789352,0.027441728947368405,0.025314926315789466,0.023182663157894634,0.021052036842105104,0.018922973684210476
1974-01,0.05875877272727272,0.04884195454545455,0.047176863636363614,0.044664090909090876,0.040889954545454466,0.03640740909090917,0.031597181818181885,0.026648136363636332,0.021641363636363598,0.016611727272727195,0.011571499999999846,0.006527863636363707,0.0014822272727271768,-0.0035630909090909046,-0.008607727272727628
1974-02,0.061810722222222225,0.06025799999999999,0.06274494444444445,0.06162872222222221,0.05818438888888894,0.053586944444444395,0.04842977777777774,0.04299422222222227,0.03741105555555546,0.031744333333333374,0.026030055555555487,0.02028966666666665,0.014528777777777946,0.008763222222222145,0.0029938888888889625
1974-03,0.06754313636363636,0.059541212121212134,0.05672632683982684,0.052259467532467546,0.04688667099567101,0.040999082251082286,0.03477677272727275,0.02832451515151513,0.02171066233766228,0.014983844155844195,0.008180023809523873,0.0013231731601732744,-0.0055671883116883425,-0.012484229437229377,-0.019416560606060562
1974-04,0.06754099999999999,0.04987966190476188,0.03939571904761904,0.03011548571428571,0.021041130952380915,0.01199698571428559,0.0029543642857143837,-0.006090066666666782,-0.015135209523809534,-0.024181285714285794,-0.03322916904761897,-0.042276361904761584,-0.05132557857142861,-0.06037031428571438,-0.0694161666666665
1974-05,0.06817409090909092,0.0494232272727273,0.036253590909090916,0.02541827272727276,0.01583186363636363,0.006994227272727194,-0.0013593636363636863,-0.009382045454545351,-0.017167136363636315,-0.024773909090909152,-0.03224940909090901,-0.039618136363636425,-0.04690786363636368,-0.054128590909090946,-0.06130268181818199
