,level,spread
1972-02,0.05307174133750203,0.08496242878293354
1972-03,0.10953253429048837,0.13960056781281022
1972-04,0.12589988338432556,0.16139108700084787
1972-05,0.13088032942585348,0.16519550400278632
1972-06,0.13763667576127536,0.15939199063733728
1972-07,0.19412662349122767,0.208548273807533
1972-08,0.26832048585707147,0.28770409017500315
1972-09,0.22240141997574392,0.24695701667821796
1972-10,0.15207935617412527,0.18163831460893437
1972-11,0.11985229148423648,0.15565243702840442
1972-12,0.09361394611647433,0.13605684262079704
1973-01,0.09288782326257772,0.13737587269891088
1973-02,0.02714128311647046,0.07131529888967854
1973-03,-0.046414029232233145,-0.010247729097504307
1973-04,-0.16892781947798652,-0.13744369401439777
1973-05,-0.3186539590269427,-0.2954084264366266
1973-06,-0.3888468739180372,-0.3806603646514653
1973-07,-0.3545421575284792,-0.3637026636153076
1973-08,-0.41187880623703255,-0.42547483361400135
1973-09,-0.43599535723186744,-0.4463685748524538
1973-10,-0.4748823471667324,-0.47816130694946773
1973-11,-0.43462628299001393,-0.45309821136192424
1973-12,-0.35810651457232157,-0.38137626209563363
1974-01,-0.32122326016223257,-0.344896241858526
1974-02,-0.2423528295523779,-0.24975365489507922
1974-03,-0.20605900119681808,-0.20873965886722573
1974-04,-0.2589255182773652,-0.2708300443232901
1974-05,-0.1590402118209716,-0.17289583367731348
1974-06,-0.08296175230721226,-0.09832848085586758
1974-07,0.030372316957446244,0.022271115478746897
1974-08,-0.2583642851476481,-0.29653888026021186
1974-09,-0.2866459321265268,-0.30667181860260145
1974-10,-0.3171280784404483,-0.33260235402574084
1974-11,-0.13187001924291997,-0.1293209650367238
1974-12,-0.08151703226067986,-0.07264418826708012
1975-01,-0.02337137705041059,-0.005055029151809484
1975-02,-0.04226779591979668,-0.01856041466940765
1975-03,0.024149868979595257,0.030172346589264668
1975-04,0.1456813240187732,0.15402680015448972
1975-05,0.35230224061034476,0.3813446885094777
1975-06,0.14363038114649684,0.1618253579647137
1975-07,-0.022231779792200368,-0.014618474690090408
1975-08,-0.13375651621505835,-0.13833919811581336
1975-09,0.1477310892830065,0.1675874494308855
1975-10,0.1438192770914729,0.17057171078715067
1975-11,0.041107505170043246,0.0708205811821458
1975-12,-0.09966352939153744,-0.08629704029063671
1976-01,0.030871186932543426,0.03317035412614407
1976-02,0.22498750396281542,0.22943702203460686
1976-03,0.29987806651840765,0.3094249221681182
1976-04,0.16362759666794424,0.1750071905948038
1976-05,0.13303959702965817,0.14859406962814953
1976-06,0.11539275568269536,0.1325954601366352
1976-07,0.22130296578252284,0.2487434871166076
1976-08,0.2088698391150422,0.23317593279530685
1976-09,0.11036842485194176,0.1232652134799674
1976-10,-0.0021541450299836784,0.001580130455374154
1976-11,-0.04143417447644426,-0.04080447840342498
1976-12,-0.07110836944309817,-0.06416488594207163
1977-01,0.0903333200002655,0.10290527935470535
1977-02,0.22162027165821552,0.23000126661762538
1977-03,0.371775364145014,0.3749350127827657
1977-04,0.34757866740765786,0.34884759063582255
1977-05,0.2688448324323386,0.2721622569687749
1977-06,0.19797493229860874,0.20550225840270103
1977-07,0.08355617152984329,0.0859170134846496
1977-08,0.03708010697629438,0.043111584552180074
1977-09,-0.013133322308123696,-0.004745823911604982
1977-10,-0.016272087713144257,-0.0016347047692617939
1977-11,-0.02953571411330913,-0.009114673390236791
1977-12,-0.02503530670815579,-0.007057770251385029
1978-01,-0.02284597950034606,-0.0069200990059439665
1978-02,-0.0067376708626657456,0.0008022542081080469
1978-03,0.06875287461238277,0.08566758300592654
1978-04,0.0660655752380025,0.0794454307535641
1978-05,-0.010234525521621074,-0.0020391337375432056
1978-06,-0.07557723222579071,-0.07599902989347433
1978-07,-0.11440546219833092,-0.10722365579945152
1978-08,-0.10505307407746545,-0.09545364321897946
1978-09,-0.17634708714017677,-0.16841116049305344
1978-10,-0.09231915796227519,-0.08675857894428778
1978-11,-0.15982860411169109,-0.15042214191093978
1978-12,-0.23968525031275922,-0.237276875848846
1979-01,-0.5138909657701595,-0.517058717214177
1979-02,-0.6029702031085026,-0.6117005887794424
1979-03,-0.584601782506924,-0.5827023913256086
1979-04,-0.5147430573761135,-0.5070747679217802
1979-05,-0.4071909773755885,-0.39517880675973865
1979-06,-0.2964122740471381,-0.29711369171946395
1979-07,-0.231653099860743,-0.23989355470537405
1979-08,-0.2126908032722553,-0.22241284197525163
1979-09,-0.35959642137060144,-0.3771793349366384
1979-10,-0.44309353391221873,-0.4732513745033527
1979-11,-0.6428397790357733,-0.6640422591652588
1979-12,-0.5999700942377572,-0.6020148232443825
1980-01,-0.567591391830106,-0.5582580442959144
1980-02,-0.2917620793954555,-0.2982609061896682
1980-03,-0.6244448861141257,-0.6451588381669158
1980-04,-0.6894746551137866,-0.710582222856984
1980-05,-0.7313520528718983,-0.7811519029194427
1980-06,-0.26008958430235174,-0.3129454937626717
1980-07,-0.14257703752945583,-0.21233605578823062
1980-08,-0.13949372866971566,-0.20168271888835326
1980-09,-0.1268948496303014,-0.19333576483482423
1980-10,-0.2775097205778253,-0.3690821301360359
1980-11,-0.5272473599654576,-0.6488748257115926
1980-12,-0.635630726614668,-0.7635580708091512
1981-01,-0.6374934596680683,-0.7764683093872771
1981-02,-0.43346666227584685,-0.5771525152972679
1981-03,-0.39533650871721726,-0.5576303296977088
1981-04,-0.17441933233167373,-0.31043441447773296
1981-05,-0.07602102922833975,-0.18004054330315805
1981-06,0.2909943553898938,0.23244233900752403
1981-07,0.30242471382820024,0.2626470088054144
1981-08,0.23324861286267662,0.19461374095121892
