Date,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15
1971-11,0,-0.0454497,-0.1005153,-0.16027965,-0.22174860000000002,-0.28380625,-0.3460671,-0.40839819999999993,-0.4707548,-0.5331186,-0.5954865,-0.664428,-0.7276221818181818,-0.7908183636363637,-0.8540127272727273,-0.9172077272727273
1971-12,0,-0.04539831818181818,-0.0988589090909091,-0.15725986363636363,-0.21854181818181817,-0.2814668181818182,-0.3453201818181818,-0.40969727272727274,-0.47437163636363633,-0.5392108636363635,-0.6041486363636364,-0.6691395,-0.7341632727272727,-0.7992045454545454,-0.8642562727272728,-0.9293134090909091
1972-01,0,-0.04173266666666667,-0.09490161904761905,-0.1539624285714286,-0.21606685714285714,-0.27974714285714286,-0.34424485714285713,-0.4091673333333333,-0.4743097142857142,-0.5395679999999999,-0.6048852380952381,-0.6702331428571429,-0.7355988571428571,-0.8009690000000002,-0.8663453333333333,-0.93172
1972-02,0,-0.041414,-0.09677899999999999,-0.15795225000000002,-0.2215822,-0.28626725,-0.3514125,-0.4167604,-0.4821992,-0.5476797000000001,-0.613178,-0.6786846,-0.7441992,-0.8097121500000001,-0.8752267999999999,-0.94074225
1972-03,0,-0.045918090909090915,-0.10373518181818182,-0.16562836363636363,-0.22904854545454545,-0.29307999999999995,-0.3573719999999999,-0.4217751363636364,-0.4862305454545455,-0.5507079545454546,-0.615195909090909,-0.6796890000000001,-0.7441843636363636,-0.8086809545454545,-0.8731774545454544,-0.9376752272727272
1972-04,0,-0.04894665,-0.11041419999999999,-0.17457509999999998,-0.23926859999999997,-0.30407375000000003,-0.36890280000000003,-0.43373890000000004,-0.4985772,-0.56341575,-0.6282555000000001,-0.6930946,-0.7579332,-0.82276935,-0.8876112,-0.95244825
1972-05,0,-0.04583386363636364,-0.10293881818181819,-0.1644835909090909,-0.2278390909090909,-0.2919602272727273,-0.35641418181818185,-0.4210181818181818,-0.48569054545454543,-0.550395409090909,-0.6151150000000001,-0.6798425000000001,-0.7445754545454546,-0.8093073181818181,-0.8740429090909091,-0.9387756818181817
1972-06,0,-0.048402409090909086,-0.10592681818181818,-0.1672247727272727,-0.2301307272727273,-0.2937393181818182,-0.3576621818181818,-0.4217270909090909,-0.48585890909090906,-0.5500219090909092,-0.6141986363636364,-0.6783825000000001,-0.7425709090909091,-0.8067593181818182,-0.8709495454545455,-0.9351402272727272
1972-07,0,-0.0492825,-0.10908770000000001,-0.17118105,-0.23379280000000002,-0.29652625,-0.359289,-0.42206045000000003,-0.4848332000000001,-0.5476063499999999,-0.610379,-0.6731527,-0.7359257999999999,-0.7986998500000001,-0.8614718,-0.9242452499999999
1972-08,0,-0.04941769565217392,-0.10894139130434782,-0.17182695652173913,-0.23579269565217395,-0.3001004347826087,-0.36451539130434774,-0.4289645652173913,-0.49342539130434787,-0.5578900434782609,-0.6223552173913043,-0.6868208695652174,-0.7512855652173913,-0.81575,-0.8802165217391305,-0.9446830434782609
1972-09,0,-0.0539841,-0.11560939999999999,-0.18018585,-0.2459136,-0.31209475,-0.3784545,-0.44488675000000005,-0.5113487999999999,-0.5778215999999999,-0.6442995000000001,-0.7107793,-0.7772592,-0.8437396500000003,-0.9102219,-0.97670025
1972-10,0,-0.0543736,-0.1167246,-0.1806786,-0.2449762,-0.30935225,-0.3737472,-0.43814785000000006,-0.5025484,-0.56695185,-0.6313534999999999,-0.6957555,-0.7601586,-0.8245588,-0.8889622000000001,-0.9533647499999999
1972-11,0,-0.05293705,-0.11374410000000001,-0.1766775,-0.2401884,-0.30386199999999997,-0.36758100000000005,-0.43131375,-0.4950508,-0.5587884,-0.622528,-0.6862679999999999,-0.750006,-0.8137447500000001,-0.8774835999999999,-0.94122375
1972-12,0,-0.05451735,-0.11535500000000001,-0.17823735000000002,-0.24178559999999996,-0.305552,-0.3693924,-0.4332552,-0.49712720000000005,-0.56100015,-0.624875,-0.68875015,-0.7526274,-0.8165013999999999,-0.8803752999999999,-0.9442514999999999
1973-01,0,-0.05875877272727272,-0.1217459090909091,-0.18536277272727272,-0.24907945454545452,-0.31281249999999994,-0.3765485454545455,-0.4402847272727274,-0.5040210909090909,-0.5677584545454545,-0.6314949999999999,-0.6952315,-0.7589683636363638,-0.8227044090909091,-0.8864405454545454,-0.9501790909090908
1973-02,0,-0.061810722222222225,-0.12792477777777778,-0.19433850000000003,-0.2602442222222222,-0.3256141666666667,-0.3905766666666666,-0.4552621111111111,-0.519768888888889,-0.5841635,-0.6484883333333333,-0.7127700555555555,-0.7770273333333334,-0.8412661111111113,-0.9054974444444444,-0.9697250000000001
1973-03,0,-0.06754313636363636,-0.13530354545454545,-0.20203213636363637,-0.26797018181818183,-0.3333259090909091,-0.39825027272727276,-0.4628587727272727,-0.5272421818181818,-0.5914660909090909,-0.6555772727272728,-0.7196104999999999,-0.7835923636363638,-0.8475379545454544,-0.9114598181818183,-0.9753647727272727
1973-04,0,-0.06754099999999999,-0.1338149,-0.19907609999999998,-0.26400819999999997,-0.32882075,-0.39358769999999993,-0.45833865000000007,-0.5230796,-0.5878206,-0.6525599999999999,-0.71729845,-0.7820364000000002,-0.8467738499999999,-0.9115133999999998,-0.9762525000000001
1973-05,0,-0.06817409090909092,-0.1349317272727273,-0.2011234090909091,-0.26725454545454547,-0.3333775,-0.39949990909090904,-0.46562281818181817,-0.5317443636363637,-0.5978663181818182,-0.6639895454545454,-0.7301115,-0.7962343636363637,-0.8623555909090909,-0.9284793636363636,-0.9946002272727271
1973-06,0,-0.07118204761904762,-0.1364981904761905,-0.2016922857142857,-0.2668855238095238,-0.33207880952380947,-0.39727199999999996,-0.46246566666666666,-0.5276590476190477,-0.5928518571428572,-0.6580452380952382,-0.7232395238095238,-0.7884314285714287,-0.8536239523809525,-0.9188166666666666,-0.9840114285714284
1973-07,0,-0.08253557142857143,-0.15193838095238096,-0.21968200000000002,-0.28736247619047617,-0.3550414285714286,-0.4227197142857143,-0.4903973333333333,-0.5580750476190476,-0.6257528571428571,-0.6934319047619047,-0.7611078095238096,-0.8287845714285713,-0.8964651428571431,-0.9641426666666667,-1.0318207142857143
1973-08,0,-0.08529,-0.15989765217391302,-0.2303401304347826,-0.29934713043478267,-0.3679984782608696,-0.4366794782608696,-0.5054916086956522,-0.5744420869565218,-0.6435007826086957,-0.7126378260869565,-0.7818288260869566,-0.8510582608695652,-0.9203061739130434,-0.9895711304347825,-1.0588428260869565
