qdate     price1     price2     price3     price4     price5
631231     96.233     92.472     88.892     85.198     81.838
640131     96.292     92.500     88.846     85.400     81.921
640228     96.140     92.336     88.616     85.160     81.761
640331     96.165     92.171     88.360     84.731     81.594
640430     96.298     92.362     88.586     84.925     81.550
640528     96.240     92.433     88.759     85.105     81.940
640630     96.291     92.721     88.976     85.318     81.957
640731     96.321     92.953     89.043     85.306     81.840
640831     96.259     92.804     88.953     85.245     81.792
640930     96.178     92.687     88.864     85.221     81.901
641030     96.179     92.557     88.753     85.201     81.833
641130     95.873     92.260     88.442     84.938     81.598
641231     96.031     92.445     88.777     85.207     81.555
650129     95.983     92.426     88.831     85.274     81.535
650226     95.861     92.228     88.672     85.179     81.360
650331     95.944     92.263     88.637     85.221     81.451
650429     95.985     92.277     88.568     85.132     81.379
650528     95.972     92.225     88.558     85.138     81.363
650630     96.102     92.438     88.690     85.146     81.482
650730     96.072     92.302     88.544     84.813     81.361
650831     95.914     92.152     88.306     84.663     81.237
650930     95.747     91.869     87.983     84.297     80.855
651029     95.718     91.820     87.914     84.024     80.553
651130     95.661     91.777     87.639     83.765     80.262
651231     95.244     90.856     86.344     82.264     78.770
660131     95.199     90.804     86.315     82.185     78.570
660228     95.142     90.653     86.202     81.893     78.079
660331     95.189     90.993     86.767     82.588     78.941
660429     95.145     90.764     86.415     82.376     78.654
660531     95.037     90.464     86.122     81.892     78.355
660630     95.022     90.354     85.748     81.494     77.841
660729     94.862     90.102     85.495     81.105     77.161
660831     94.241     88.975     84.129     79.283     75.720
660930     94.192     89.765     85.064     80.827     77.297
661031     94.459     89.958     85.457     81.189     77.440
661130     94.708     89.845     85.225     80.860     77.112
661230     95.124     90.841     86.368     82.732     79.100
670131     95.493     91.394     87.200     83.116     79.637
670228     95.435     91.137     86.773     82.813     79.096
670331     95.955     92.100     88.059     84.085     80.383
670428     96.018     91.660     87.333     83.123     79.311
670531     96.106     91.731     87.340     83.233     79.118
670630     95.078     90.615     85.929     81.292     76.879
670731     95.018     90.707     86.183     81.952     77.780
670831     94.877     90.229     85.514     81.271     77.135
670929     94.755     90.115     85.327     80.905     77.027
671031     94.617     89.464     84.712     80.186     75.697
671130     94.345     89.477     84.540     80.059     75.541
671229     94.184     89.182     84.221     79.609     75.596
680131     94.662     89.919     85.048     80.446     76.348
680229     94.621     89.834     84.618     80.222     76.385
680329     94.488     89.549     84.294     79.539     75.783
680430     94.261     89.369     83.892     79.095     75.249
680531     94.154     89.103     84.101     79.251     75.427
680628     94.240     89.506     84.631     80.091     76.415
680731     94.748     89.906     85.820     81.465     77.524
680830     94.793     90.235     85.757     81.489     77.207
680930     94.768     89.882     85.566     81.436     77.172
681031     94.530     89.695     85.371     81.139     76.641
681129     94.365     89.464     85.096     80.659     75.981
681231     93.719     88.171     83.388     77.868     72.861
690131     94.102     88.476     83.555     79.219     73.855
690228     93.582     88.200     82.620     78.119     73.012
690328     93.667     88.656     83.113     78.262     73.054
690430     94.008     88.563     83.273     78.810     73.323
690529     93.725     87.887     82.221     77.462     72.111
690630     92.909     86.917     80.988     76.198     71.019
690731     92.925     86.507     80.769     76.041     71.250
690829     92.609     86.407     80.560     75.489     70.606
690930     92.497     85.533     79.210     73.127     67.486
691031     92.915     86.583     80.571     74.880     70.041
691128     92.380     86.107     79.769     74.133     68.989
691231     92.289     85.023     78.311     72.049     67.126
700130     92.332     85.221     78.489     72.344     66.798
700227     93.333     86.870     80.967     75.074     69.950
700331     93.607     87.098     81.405     75.202     70.288
700430     92.786     85.959     79.285     73.154     67.907
700529     92.854     85.608     79.562     73.532     68.355
700630     93.065     86.141     79.695     73.733     68.585
700731     93.438     86.603     80.284     74.127     69.171
700831     93.430     86.905     80.589     74.501     69.608
700930     93.623     87.720     81.502     75.645     70.295
701030     93.892     87.768     81.762     76.014     70.894
701130     95.032     89.911     84.440     79.230     74.463
701231     95.235     89.778     84.105     79.254     74.375
710129     95.759     91.097     85.431     79.895     75.362
710226     96.269     91.765     86.464     81.343     76.691
710331     96.314     92.046     87.357     82.473     77.952
710430     95.565     90.084     84.258     79.297     74.165
710528     95.177     89.691     83.864     79.139     73.305
710630     94.108     88.228     81.876     76.755     71.223
710730     94.041     88.112     81.694     76.086     70.836
710831     94.856     89.670     84.264     79.315     73.983
710930     94.869     89.786     84.403     79.389     74.202
711029     95.482     90.524     85.506     80.450     75.342
711130     95.359     90.368     85.348     80.283     75.103
711231     95.918     90.788     85.862     81.208     76.219
720131     95.949     90.832     85.215     80.329     75.120
720229     95.803     90.909     85.447     80.465     75.336
720330     95.185     89.554     84.078     79.044     74.074
720428     95.567     90.263     84.703     79.767     74.824
720531     95.478     90.586     85.114     80.095     75.148
720630     94.901     89.731     84.287     79.121     74.423
720731     95.174     90.043     84.376     79.112     74.514
720831     94.666     89.364     83.835     78.295     73.779
720929     94.527     89.057     83.693     78.620     73.867
721031     94.614     89.130     83.695     78.416     73.737
721130     94.750     89.346     84.042     78.618     74.053
721229     94.597     88.812     83.526     78.437     73.441
730131     94.041     88.323     82.851     77.490     72.971
730228     93.796     87.779     82.100     76.755     71.918
730330     93.322     87.270     81.771     76.672     71.697
730430     93.519     87.580     81.946     76.951     72.020
730531     93.291     87.425     82.026     76.961     71.900
730629     92.741     86.982     81.322     76.431     71.448
730731     91.736     85.281     79.154     73.123     68.238
730831     91.995     85.837     80.449     75.181     70.282
730928     92.587     86.974     81.984     76.804     72.086
731031     93.126     87.422     81.954     76.564     71.765
731130     92.863     87.504     82.009     76.793     71.853
731231     93.124     87.479     81.947     76.622     71.611
740131     93.346     87.529     81.755     76.330     71.374
740228     93.220     87.276     81.804     76.190     71.144
740329     92.164     85.702     79.626     74.043     69.000
740430     91.695     84.945     78.528     72.610     67.230
740531     92.042     85.301     78.795     72.889     67.933
740628     91.708     84.697     78.283     71.950     66.755
740731     91.707     84.592     77.927     71.634     66.395
740830     90.800     84.064     77.653     71.661     65.753
740930     92.411     85.137     79.090     72.995     67.597
741031     92.644     85.741     79.306     73.287     67.783
741129     92.783     86.567     80.275     74.584     69.084
741231     93.356     86.625     80.707     75.168     70.130
