,lamb1,lamb0,lamb_1_level,lamb_0_level
x,-16.261127622544393,1.8307525374130948,,
level,-125.14570820892851,0.5472128768184943,-110.51222346735817,-1.6133137533424484
slope,120.98030448041527,1.9774927054115814,,
curvature,645.2559474415466,-47.664417729315005,,
