,rx2,rx3,rx4,rx5,rx6,rx7,rx8,rx9,rx10,rx11,rx12,rx13,rx14,rx15
1977-11,-0.004733342287370467,-0.007107221265360128,-0.007588329684149123,-0.006605709723326262,-0.004412282268396186,-0.0011940698234541545,0.002896021193239731,0.0077280122677978215,0.013183218928720163,0.019149619542907243,0.02553991119364301,0.032259957539046084,0.0392395199595937,0.04640487183440079
1977-12,-0.008352144367334715,-0.015192806943788422,-0.020300993550349623,-0.02393545514497549,-0.026315306177737217,-0.02763934118345087,-0.02808131227426366,-0.027803717792372715,-0.026944295172311332,-0.02562147037270977,-0.023944823083453252,-0.02200231437735331,-0.019876917704334463,-0.017633727575555785
1978-01,-0.014773728496383039,-0.025839173212980744,-0.03494858356727524,-0.04314432009194756,-0.05089866601330388,-0.05841775334170951,-0.06579554257137732,-0.0730812844026457,-0.0803078762497759,-0.08750101762267794,-0.09469314822866351,-0.10190830658067376,-0.10917195809723523,-0.11651115486851928
1978-02,-0.01877906042897464,-0.03346804360303126,-0.04582835387995592,-0.05691208159195851,-0.06726779175565871,-0.07718627939870862,-0.0868256671425325,-0.09628899515835132,-0.10564483744347708,-0.11495053262340206,-0.12425157189885276,-0.13358380507677495,-0.14298187613923138,-0.1524828490320299
1978-03,-0.0243143150936323,-0.04443743115961489,-0.06161312043780921,-0.07676844901601128,-0.09055474526105808,-0.10340624707582491,-0.11560997528885213,-0.1273613341338281,-0.13880112923932292,-0.1500315666560145,-0.16113359193629245,-0.1721718666007441,-0.1831888128306351,-0.19423060510551013
1978-04,-0.024458647013273944,-0.0461948004015531,-0.0647220607377132,-0.08078224740276066,-0.09510157615743352,-0.10819079056666706,-0.12039064960421678,-0.13193294762402663,-0.1429802999164212,-0.15365247292800566,-0.1640431097208932,-0.174221680432601,-0.18425034870159684,-0.19417249156870134
1978-05,-0.022110120807769806,-0.042407651376328744,-0.05916316676923261,-0.07340068606619929,-0.08588000781491383,-0.09708951435528378,-0.1073538589043577,-0.11689366003333015,-0.1258659094205389,-0.1343901562870508,-0.14255621187033868,-0.1504406225212603,-0.15809713510651785,-0.1655743788654135
1978-06,-0.023380397331899255,-0.04487045302910328,-0.06304396452441491,-0.07865260419174483,-0.09229369831898626,-0.10439504159733975,-0.11527899752017509,-0.12518860179513996,-0.13431153586278216,-0.1427942130886656,-0.15074947641197273,-0.15827097197718593,-0.1654351546996473,-0.17229814157002799
1978-07,-0.02045103428320646,-0.0384507338374285,-0.053602380524304855,-0.06686612560869781,-0.07870706929933166,-0.0894217214674718,-0.09922230535564835,-0.10827420385845457,-0.1167029378880354,-0.12461137744787684,-0.13208636731237297,-0.13919261275576836,-0.1459908181943629,-0.15252558417194806
1978-08,-0.01566129275958468,-0.028683245256926258,-0.0392737246846765,-0.04861116114830151,-0.05708241402687551,-0.06486421064998088,-0.0720722385305919,-0.07878730994283929,-0.08507686856552854,-0.0909976373172577,-0.09658858348119326,-0.1018999003318905,-0.1069646114130301,-0.11181471167559114
1978-09,-0.017492745645665997,-0.0292129696238607,-0.03859024683345745,-0.0466820360758481,-0.05381849996857602,-0.0601912740028218,-0.06593742195151396,-0.07116586879242122,-0.07595735219135569,-0.08038013725998235,-0.08449069222877192,-0.08833845433878026,-0.09195734641363607,-0.095382076861155
1978-10,-0.01950232322919232,-0.030836267398135286,-0.039927770853984815,-0.04805091680338932,-0.055550023102320295,-0.06259597951010529,-0.06928305989229747,-0.07567801541355208,-0.08182228682746763,-0.0877530706448746,-0.09349464953609433,-0.09907412674820917,-0.10450383565140725,-0.10980298599194444
1978-11,-0.027185159077764212,-0.04076161946666848,-0.04920588092683347,-0.056215295539783154,-0.06256017078924651,-0.06848995089811524,-0.07412834129316738,-0.07954071750311609,-0.08475797098557565,-0.08980588291023292,-0.09469151587644732,-0.09942466898186181,-0.10401611912949837,-0.10847144514945806
1978-12,-0.02794376096221323,-0.04351149670520188,-0.05278369493875034,-0.06020862509867734,-0.06694699296928258,-0.07332599754226415,-0.07945416672961819,-0.08537780152503406,-0.09111632809381903,-0.09666908023478654,-0.10204493699340614,-0.10723567008284841,-0.11225418027437427,-0.1170950503809288
1979-01,-0.026410966173787832,-0.040742981231822545,-0.048287002207612985,-0.053895922018677496,-0.058860663966746066,-0.06350075027018291,-0.06790540677253759,-0.07210244237927338,-0.07609433433054048,-0.07988354998079662,-0.08346299062361978,-0.08683480513316523,-0.09000165861376676,-0.09296635066085879
1979-02,-0.02335519684662888,-0.034406169217127684,-0.04107456069717929,-0.04658552804682905,-0.051595726567306405,-0.056291391637097746,-0.060742247857905246,-0.06497772267169871,-0.06901215899405719,-0.07285395097549144,-0.0765085905339354,-0.07998081913477481,-0.08327084276299995,-0.08640032420211186
1979-03,-0.027089869112910385,-0.04245896652834673,-0.05277615838393957,-0.06154206743081811,-0.06969417759708144,-0.07751976193012097,-0.08512650154673809,-0.0925558211616393,-0.09982049017363859,-0.10692755976441204,-0.11387349392007119,-0.12065695026906942,-0.12727607999620077,-0.13372864069417495
1979-04,-0.024439528360453273,-0.03953328520584612,-0.05013364960722992,-0.05908630985297317,-0.06738641594252802,-0.07538094263642658,-0.08320035806266789,-0.09089107790083055,-0.09847457995695215,-0.10595678526392976,-0.11333730081254068,-0.12061189310377907,-0.12777975506898204,-0.13484231590624582
1979-05,-0.01889738793117133,-0.02913381397474252,-0.03604164150893794,-0.042012789179697065,-0.047676072687188986,-0.05320519039642623,-0.05864456145058104,-0.0640058105894573,-0.06928054707219201,-0.07446280318610447,-0.0795423423531041,-0.08451120853456674,-0.08936785529874147,-0.09410667576063944
1979-06,-0.009130479024195861,-0.010480749444642742,-0.010615426580056722,-0.010475662814325808,-0.010249422236409744,-0.009989683306210488,-0.009705828014672133,-0.00939231939926969,-0.00903614328873998,-0.00862595666317606,-0.008152708702421317,-0.007607754235483183,-0.006987847887697671,-0.006285000958696177
1979-07,-0.005333247195307704,-0.0034091488490286016,-0.0008644105864672839,0.0018406166672812491,0.004560697744925098,0.007244851969221585,0.009896214338941814,0.012533854741199692,0.015185522804656704,0.01788199019275863,0.02064693887755675,0.023504836269268935,0.026467730743824355,0.0295525442659428
1979-08,-0.012127133642146794,-0.014803215759045361,-0.016172047611579775,-0.017275272789759995,-0.018311307732740152,-0.01933890492865638,-0.020364582644295973,-0.02137650321173855,-0.02234891213098082,-0.023260604692642645,-0.024082262757608157,-0.024789234387424045,-0.025368611466833564,-0.02580366488517763
1979-09,-0.017814823736694605,-0.020869668134968405,-0.021896608253563876,-0.02299281153606884,-0.024236822915451078,-0.025565444239141602,-0.026910910851111323,-0.028216528178214205,-0.029433027534322725,-0.030518938612730945,-0.031439401012194126,-0.03216974374046715,-0.03268786456890821,-0.0329841137652557
