,A
1,-0.06623543903745752
2,-0.13288399961425765
3,-0.19949569533118336
4,-0.26602266424077986
5,-0.3323815697973968
6,-0.398518295918972
7,-0.4643920611392196
8,-0.529972590589816
9,-0.595236977108777
10,-0.6601678943065015
11,-0.7247524298163988
12,-0.7889813019798264
13,-0.8528482877284239
14,-0.9163497741347986
15,-0.9794843875492215
16,-1.0422526765310725
17,-1.1046568357115922
18,-1.166700463059383
19,-1.2283883456292972
20,-1.2897262702028447
